time_s,superoxide_M,h2o2_M,oh_radical_M,gsh_M,gssg_M,dna_damage
0.0,1e-09,1e-07,9.999999999994796e-13,0.00475,0.00025,0.0
0.3003003003003003,7.073170745191227e-13,1.616564941895874e-10,1.1452535923960458e-17,0.0047803941871816975,0.00023110495534371927,3.435655721448065e-09
0.6006006006006006,7.073170731679445e-13,1.6129801242702456e-10,1.14492604195963e-17,0.004810370441456608,0.00021252827587750888,6.858902376410372e-09
0.9009009009009009,7.073170731707311e-13,1.6127610893797157e-10,1.1446045182457496e-17,0.004839812054251952,0.00019432507947683168,1.0270911071794304e-08
1.2012012012012012,7.073170731707317e-13,1.6125586996301296e-10,1.144290061830249e-17,0.004868622525710041,0.00017654047540257458,1.3671735099936441e-08
1.5015015015015014,7.073170731707317e-13,1.6125334495090618e-10,1.143983862778907e-17,0.004896691689803793,0.0001592264989256444,1.706143093335418e-08
1.8018018018018018,7.073170731707317e-13,1.6124880946264805e-10,1.1436872794004504e-17,0.004923893716376323,0.00014244310753272076,2.044005869240153e-08
2.1021021021021022,7.073170731707316e-13,1.6124668563583037e-10,1.1434018590486366e-17,0.004950085219285858,0.00012625912419849146,2.380768266942122e-08
2.4024024024024024,7.073170731707317e-13,1.6124647252778281e-10,1.1431293537681349e-17,0.004975103781130183,0.00011075297243969328,2.7164371906903612e-08
2.7027027027027026,7.073170731707315e-13,1.6124642705807635e-10,1.1428717253471735e-17,0.004998767478398576,9.60129112225982e-05,3.0510200809426945e-08
3.003003003003003,7.073170731707318e-13,1.612420508123936e-10,1.1426311292141939e-17,0.0050208763573665665,8.213629457820543e-05,3.38452497391876e-08
3.3033033033033035,7.073170731707316e-13,1.6123899023774797e-10,1.1424098627362184e-17,0.005041217215829566,6.922717837061477e-05,3.716960551211303e-08
3.6036036036036037,7.073170731707315e-13,1.612371568941787e-10,1.1422102590800683e-17,0.005059573389245392,5.739142492997478e-05,4.0483361660864726e-08
3.903903903903904,7.073170731707316e-13,1.6123573190033013e-10,1.1420345097828823e-17,0.005075741153821324,4.672849928148305e-05,4.378661827547577e-08
4.2042042042042045,7.073170731707316e-13,1.6123441441539614e-10,1.1418844101731411e-17,0.005089553258270562,3.7319701105477907e-05,4.707948119524294e-08
4.504504504504505,7.073170731707318e-13,1.61233268256874e-10,1.1417610511530321e-17,0.0051009074233547705,2.9213912868440798e-05,5.0362060348390114e-08
4.804804804804805,7.073170731707316e-13,1.6123240832490493e-10,1.1416645239217528e-17,0.005109793658053725,2.2413939702499252e-05,5.363446716969247e-08
5.105105105105105,7.073170731707316e-13,1.6123174723787166e-10,1.1415937407617648e-17,0.005116310865153796,1.6868204635820464e-05,5.689681128579091e-08
5.405405405405405,7.073170731707317e-13,1.6123130636854659e-10,1.1415464659842138e-17,0.005120664038693594,1.2472147952703942e-05,6.01491969733275e-08
5.7057057057057055,7.073170731707315e-13,1.6123105354150146e-10,1.1415195813136932e-17,0.0051231398036865735,9.080455472036231e-06,6.339172007699959e-08
6.006006006006006,7.073170731707306e-13,1.612309511197392e-10,1.1415095081960101e-17,0.0051240674505125955,6.52653954626384e-06,6.662446599932894e-08
6.306306306306307,7.073170731707315e-13,1.6123097203832903e-10,1.1415126490247179e-17,0.005123778205644805,4.642901946057387e-06,6.984750902514667e-08
6.606606606606607,7.073170731707317e-13,1.612310824063679e-10,1.1415257268018266e-17,0.005122573865501533,3.276815234422718e-06,7.306091284476396e-08
6.906906906906907,7.073170731707316e-13,1.6123125797729065e-10,1.1415459731202786e-17,0.005120709424624834,2.299007027649421e-06,7.626473186588059e-08
7.207207207207207,7.073170731707315e-13,1.6123147891697948e-10,1.1415711793876311e-17,0.005118388324910395,1.6060337794503678e-06,7.945901287249309e-08
7.5075075075075075,7.073170731707326e-13,1.6123172993688046e-10,1.1415996581719963e-17,0.005115766001304693,1.1185063788321582e-06,8.264379668446608e-08
7.807807807807808,7.073170731707065e-13,1.6123200056533826e-10,1.1416301615468255e-17,0.005112957398905053,7.773300924327416e-07,8.58191196216619e-08
8.108108108108109,7.073170731714056e-13,1.6123227866344507e-10,1.141661789206054e-17,0.005110045431558219,5.394738022715712e-07,8.898501469707217e-08
8.408408408408409,7.07317073170254e-13,1.6123256564012263e-10,1.1416939046040313e-17,0.0051070887354054744,3.7409181344673634e-07,9.214151253998413e-08
8.70870870870871,7.073170731707295e-13,1.6123285397493387e-10,1.1417260647077223e-17,0.005104128079238091,2.5931729870563103e-07,9.5288642084869e-08
9.00900900900901,7.073170731707316e-13,1.6123313909830075e-10,1.1417579667418012e-17,0.005101191348892903,1.7976876369197125e-07,9.842643107323087e-08
9.30930930930931,7.073170731707317e-13,1.6123342016180695e-10,1.1417894071463456e-17,0.0050982972742595655,1.2468524590359934e-07,1.0155490641278053e-07
9.60960960960961,7.073170731707316e-13,1.6123369645796719e-10,1.1418202523137827e-17,0.005095458145806493,8.65667927019897e-08,1.0467409443136528e-07
9.90990990990991,7.073170731707315e-13,1.6123396710478173e-10,1.1418504174256233e-17,0.005092681761093949,6.019998298378939e-08,1.0778402105487104e-07
10.21021021021021,7.073170731707315e-13,1.6123423149835118e-10,1.1418798514866595e-17,0.005089972803400894,4.1967428117872826e-08,1.1088471193096841e-07
10.51051051051051,7.073170731707317e-13,1.6123448933931442e-10,1.1419085268097481e-17,0.005087333810297315,2.936233522538006e-08,1.1397619251465907e-07
10.81081081081081,7.073170731707315e-13,1.612347405066023e-10,1.1419364316689633e-17,0.0050847658503103774,2.0649057580097188e-08,1.1705848812706113e-07
11.11111111111111,7.073170731707317e-13,1.612349849735107e-10,1.141963565187147e-17,0.005082268993750369,1.4626598141808403e-08,1.2013162399553713e-07
11.411411411411411,7.073170731707316e-13,1.6123522277460436e-10,1.1419899337892686e-17,0.005079842639298238,1.0464264351802714e-08,1.2319562528086054e-07
11.711711711711711,7.073170731707317e-13,1.6123545398929365e-10,1.1420155487480526e-17,0.0050774857399852194,7.587657981596611e-09,1.2625051709540313e-07
12.012012012012011,7.073170731707315e-13,1.6123567872812514e-10,1.1420404244893097e-17,0.005075196959202913,5.59967995410458e-09,1.2929632451511706e-07
12.312312312312313,7.073170731707317e-13,1.6123589712155526e-10,1.1420645774244858e-17,0.0050729747781592905,4.225841477121093e-09,1.323330725872388e-07
12.612612612612613,7.073170731707315e-13,1.6123610931209522e-10,1.1420880251485428e-17,0.005070817569693105,3.2764244113752032e-09,1.353607863350501e-07
12.912912912912914,7.073170731707316e-13,1.612363154491646e-10,1.1421107858906937e-17,0.005068723648806477,2.620310130767319e-09,1.3837949076062302e-07
13.213213213213214,7.073170731707316e-13,1.6123651568565196e-10,1.1421328781399729e-17,0.005066691307100562,2.166883616602234e-09,1.413892108461872e-07
13.513513513513514,7.073170731707315e-13,1.6123671017554836e-10,1.1421543203916058e-17,0.005064718836091167,1.8535235382188896e-09,1.4438997155456347e-07
13.813813813813814,7.073170731707315e-13,1.6123689907232028e-10,1.1421751309767596e-17,0.005062804542849293,1.636955101889139e-09,1.4738179782896793e-07
14.114114114114114,7.073170731707315e-13,1.6123708252781073e-10,1.142195327949804e-17,0.005060946760349403,1.4872734814068915e-09,1.503647145923977e-07
14.414414414414415,7.073170731707316e-13,1.6123726069151151e-10,1.1422149290151792e-17,0.005059143854173063,1.383813306943827e-09,1.5333874674674393e-07
14.714714714714715,7.073170731707317e-13,1.6123743371009026e-10,1.142233951481505e-17,0.00505739422670672,1.3122941195955428e-09,1.5630391917173126e-07
15.015015015015015,7.073170731707317e-13,1.6123760172709195e-10,1.142252412234383e-17,0.005055696319620479,1.2628476889910668e-09,1.5926025672375287e-07
15.315315315315315,7.073170731707316e-13,1.612377648827607e-10,1.1422703277219886e-17,0.005054048615171338,1.228654785508699e-09,1.6220778423464777e-07
15.615615615615615,7.073170731707315e-13,1.612379233139441e-10,1.142287713949366e-17,0.00505244963670618,1.2050031312307204e-09,1.6514652651045246e-07
15.915915915915916,7.073170731707317e-13,1.6123807715405484e-10,1.1423045864786299e-17,0.0050508979486235065,1.1886364099063893e-09,1.680765083301485e-07
16.216216216216218,7.073170731707315e-13,1.6123822653307042e-10,1.1423209604331084e-17,0.005049392155972547,1.1773044122817472e-09,1.7099775444442131e-07
16.516516516516518,7.073170731707317e-13,1.6123837157756002e-10,1.1423368505041121e-17,0.005047930903812852,1.1694521737831005e-09,1.7391028957443876e-07
16.816816816816818,7.073170731707316e-13,1.612385124107285e-10,1.1423522709593911e-17,0.005046512876419145,1.1640051605421434e-09,1.768141384106564e-07
17.117117117117118,7.073170731707316e-13,1.6123864915247239e-10,1.1423672356526529e-17,0.005045136796389652,1.1602208276584886e-09,1.7970932561165398e-07
17.41741741741742,7.073170731707316e-13,1.6123878191944337e-10,1.1423817580337059e-17,0.005043801423697858,1.1575860424666436e-09,1.825958758030042e-07
17.71771771771772,7.073170731707316e-13,1.6123891082511657e-10,1.1423958511589322e-17,0.005042505554715015,1.1557462016699088e-09,1.8547381357617663e-07
18.01801801801802,7.073170731707316e-13,1.612390359798619e-10,1.1424095277018858e-17,0.005041248021221935,1.1544562496927045e-09,1.8834316348747597e-07
18.31831831831832,7.073170731707317e-13,1.612391574910163e-10,1.1424227999638755e-17,0.005040027689422673,1.1535468312780724e-09,1.9120395005701553e-07
18.61861861861862,7.073170731707316e-13,1.61239275462957e-10,1.1424356798844509e-17,0.005038843458968459,1.1529009021875818e-09,1.9405619776772525e-07
18.91891891891892,7.073170731707316e-13,1.6123938999717427e-10,1.1424481790517194e-17,0.00503769426199743,1.152437566680021e-09,1.9689993106439405e-07
19.21921921921922,7.073170731707316e-13,1.6123950119234397e-10,1.1424603087124621e-17,0.005036579062193766,1.152100908851206e-09,1.997351743527457e-07
19.51951951951952,7.073170731707317e-13,1.612396091443987e-10,1.1424720797820211e-17,0.00503549685386839,1.151852274839465e-09,2.0256195199854725e-07
19.81981981981982,7.073170731707316e-13,1.612397139465981e-10,1.1424835028539458e-17,0.005034446661062562,1.1516649396532895e-09,2.053802883267495e-07
20.12012012012012,7.073170731707315e-13,1.612398156895985e-10,1.1424945882093879e-17,0.005033427536675025,1.1515204218239434e-09,2.0819020762065907e-07
20.42042042042042,7.073170731707315e-13,1.6123991446152e-10,1.1425053458262445e-17,0.005032438561612889,1.1514059367403585e-09,2.109917341211395e-07
20.72072072072072,7.073170731707314e-13,1.6124001034801344e-10,1.1425157853880484e-17,0.0050314788439662335,1.151312636837916e-09,2.1378489202584354e-07
21.02102102102102,7.073170731707316e-13,1.612401034323251e-10,1.1425259162926109e-17,0.005030547518206131,1.1512343955201994e-09,2.165697054884725e-07
21.32132132132132,7.073170731707317e-13,1.6124019379536053e-10,1.1425357476604175e-17,0.005029643744405726,1.1511669668120337e-09,2.193461986180642e-07
21.62162162162162,7.073170731707316e-13,1.6124028151574652e-10,1.1425452883427788e-17,0.005028766707483882,1.1511074046510775e-09,2.2211439547830744e-07
21.92192192192192,7.073170731707318e-13,1.6124036666989221e-10,1.1425545469297546e-17,0.0050279156164708795,1.1510536615954397e-09,2.2487432008688292e-07
22.22222222222222,7.073170731707317e-13,1.612404493320482e-10,1.1425635317578412e-17,0.005027089703795614,1.1510043115118544e-09,2.2762599641482945e-07
22.52252252252252,7.073170731707316e-13,1.6124052957436459e-10,1.1425722509174355e-17,0.005026288224593735,1.1509583579373261e-09,2.3036944838593465e-07
